system_id,record_type,relative_path,exists,size_bytes,sha256,checksum_status
Gs_8W87,api_index,data/api/v1/systems/Gs_8W87/index.json,yes,1369,db1214684ebcdd9ff4c93ac8d321fb79b91298e7e15c49357226c6e043417d5f,computed
Gs_8W87,api_pockets,data/api/v1/systems/Gs_8W87/pockets.json,yes,9152,a7513a05863e6f5d997d53644ced8a07692004cba671023b84df7af6bf1e6c07,computed
Gs_8W87,api_pockets_gpcrdb,data/api/v1/systems/Gs_8W87/pockets_gpcrdb.json,yes,15370,409457ad1402f9361ec077b0fdb87d0cce8df9ec2c4f62ffdafbe8bfef09d16d,computed
Gs_8W87,api_gateways,data/api/v1/systems/Gs_8W87/gateways.json,yes,8035,3eb78142a136cfacdb4b68c07e17424e8a0754c91c333fcbe9c32e52e7040ded,computed
Gs_8W87,api_gprotein,data/api/v1/systems/Gs_8W87/gprotein_metrics.json,yes,173293,ac8e31afd411c22a07a2893faae46a30d3c1c430ed5b82c3b5aa90b076505055,computed
Gs_8W87,api_pocketgrid,data/api/v1/systems/Gs_8W87/pocketgrid.npz,yes,5916798,,pending_binary_or_large_file
Gs_8W87,chain_roles,data/chain_roles/Gs_8W87_chain_roles.json,yes,470,272b03bd6b5efffc0008d916a00b9a4546999b3294d9d419063006c75704c7fa,computed
Gs_8W87,contacts,data/contacts/Gs_8W87_contacts.parquet,yes,47062,,pending_binary_or_large_file
Gs_8W8Q,viz_structure,data/viz/Gs_8W8Q/structure.pdb,yes,1601208,,pending_binary_or_large_file
Gs_8W8Q,viz_trajectory,data/viz/Gs_8W8Q/traj.xtc,yes,188258448,,pending_binary_or_large_file
Gs_8W8Q,api_index,data/api/v1/systems/Gs_8W8Q/index.json,yes,1341,5dba083b8ef67fd143e703587ea0f4af90b06e5f66a1546f45f8c3826d801e25,computed
Gs_8W8Q,api_pockets,data/api/v1/systems/Gs_8W8Q/pockets.json,yes,5891,e8b0db686f686a8be75ee8f0373d9ae0f851ca52618bd7bcd3ccaba079da815f,computed
Gs_8W8Q,api_pockets_gpcrdb,data/api/v1/systems/Gs_8W8Q/pockets_gpcrdb.json,yes,9537,0ba34ac27daf067144faed74afc087855a0dbd3fb7d444228ae8db84e715e22f,computed
